candidate,county,precinct,Bennet,Bennet,Bennet,Biden,Biden,Biden,Bloomberg,Bloomberg,Bloomberg,Buttigieg,Buttigieg,Buttigieg,Delaney,Delaney,Delaney,Gabbard,Gabbard,Gabbard,Klobuchar,Klobuchar,Klobuchar,Patrick,Patrick,Patrick,Sanders,Sanders,Sanders,Steyer,Steyer,Steyer,Warren,Warren,Warren,Yang,Yang,Yang,Other,Other,Other,Uncommitted,Uncommitted,Uncommitted
subhead,,,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE
36,Audubon,Precinct 2,0.0,0.0,0.0,28.0,38.0,0.6,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,37.0,0.6,0.0,0.0,0.0,14.0,17.0,0.3,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
37,Audubon,Precinct 1,0.0,0.0,0.0,17.0,23.0,0.3,0.0,0.0,0.0,23.0,31.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,0.3,0.0,0.0,0.0,17.0,18.0,0.2,8.0,0.0,0.0,20.0,21.0,0.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Audubon,Total,0.0,0.0,0.0,45.0,61.0,0.9,0.0,0.0,0.0,31.0,31.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,42.0,55.0,0.9,0.0,0.0,0.0,31.0,35.0,0.5,11.0,0.0,0.0,32.0,21.0,0.3,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
39,Benton,Bruce-Cedar-Mt Auburn,0.0,0.0,0.0,4.0,4.0,0.075,0.0,0.0,0.0,7.0,7.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.075,0.0,0.0,0.0,4.0,4.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Benton,Iowa-Leroy-Luzerne-Blairstown,0.0,0.0,0.0,12.0,16.0,0.375,0.0,0.0,0.0,12.0,18.0,0.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Benton,Kane-Keystone,0.0,0.0,0.0,7.0,8.0,0.225,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.225,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Benton,Eldorado-Newhall,0.0,0.0,0.0,13.0,16.0,0.3,0.0,0.0,0.0,5.0,8.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.225,1.0,0.0,0.0,6.0,6.0,0.075,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Benton,Fremont-Atkins,0.0,0.0,0.0,28.0,28.0,0.6,0.0,0.0,0.0,22.0,22.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.525,4.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Benton,Belle Plaine 3,0.0,0.0,0.0,7.0,9.0,0.15,0.0,0.0,0.0,6.0,7.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Benton,Florence-St Clair-Norway,0.0,0.0,0.0,19.0,20.0,0.45,0.0,0.0,0.0,8.0,9.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
